0xA1CF    ＋    U+FF0B    0xEFBC8B    0x0BFF
0xA1D0    －    U+FF0D    0xEFBC8D    0x0DFF
0xA1D1    ×    U+00D7    0xC397    0xD700
0xA1D2    ÷    U+00F7    0xC3B7    0xF700
0xA1D3    ±    U+00B1    0xC2B1    0xB100
0xA1D4    √    U+221A    0xE2889A    0x1A22
0xA1D5    ＜    U+FF1C    0xEFBC9C    0x1CFF
0xA1D6    ＞    U+FF1E    0xEFBC9E    0x1EFF
0xA1D7    ＝    U+FF1D    0xEFBC9D    0x1DFF
0xA1D8    ≦    U+2266    0xE289A6    0x6622
0xA1D9    ≧    U+2267    0xE289A7    0x6722
0xA1DA    ≠    U+2260    0xE289A0    0x6022
0xA1DB    ∞    U+221E    0xE2889E    0x1E22
0xA1DC    ≒    U+2252    0xE28992    0x5222
0xA1DD    ≡    U+2261    0xE289A1    0x6122
0xA1DE    ﹢    U+FE62    0xEFB9A2    0x62FE
0xA1DF    ﹣    U+FE63    0xEFB9A3    0x63FE
0xA1E0    ﹤    U+FE64    0xEFB9A4    0x64FE
0xA1E1    ﹥    U+FE65    0xEFB9A5    0x65FE
0xA1E2    ﹦    U+FE66    0xEFB9A6    0x66FE
0xA1E3    ∼    U+223C    0xE288BC    0x3C22
0xA1E4    ∩    U+2229    0xE288A9    0x2922
0xA1E5    ∪    U+222A    0xE288AA    0x2A22
0xA1E6    ⊥    U+22A5    0xE28AA5    0xA522
0xA1E7    ∠    U+2220    0xE288A0    0x2022
0xA1E8    ∟    U+221F    0xE2889F    0x1F22
0xA1E9    ⊿    U+22BF    0xE28ABF    0xBF22
0xA1EA    ㏒    U+33D2    0xE38F92    0xD233
0xA1EB    ㏑    U+33D1    0xE38F91    0xD133
0xA1EC    ∫    U+222B    0xE288AB    0x2B22
0xA1ED    ∮    U+222E    0xE288AE    0x2E22
0xA1EE    ∵    U+2235    0xE288B5    0x3522
0xA1EF    ∴    U+2234    0xE288B4    0x3422
0xA1F0    ♀    U+2640    0xE29980    0x4026
0xA1F1    ♂    U+2642    0xE29982    0x4226
0xA1F2    ♁    U+2641    0xE29981    0x4126
0xA1F3    ☉    U+2609    0xE29889    0x0926
0xA1F4    ↑    U+2191    0xE28691    0x9121
0xA1F5    ↓    U+2193    0xE28693    0x9321
0xA1F6    ←    U+2190    0xE28690    0x9021
0xA1F7    →    U+2192    0xE28692    0x9221
0xA1F8    ↖    U+2196    0xE28696    0x9621
0xA1F9    ↗    U+2197    0xE28697    0x9721
0xA1FA    ↙    U+2199    0xE28699    0x9921
0xA1FB    ↘    U+2198    0xE28698    0x9821
0xA1FC    ∥    U+2225    0xE288A5    0x2522
0xA1FD    ∣    U+2223    0xE288A3    0x2322
0xA1FE    ／    U+FF0F    0xEFBC8F    0x0FFF
0xA240    ＼    U+FF3C    0xEFBCBC    0x3CFF
0xA241    ／    U+FF0F    0xEFBC8F    0x0FFF
0xA242    ＼    U+FF3C    0xEFBCBC    0x3CFF
0xA243    ＄    U+FF04    0xEFBC84    0x04FF
0xA244    ¥    U+00A5    0xC2A5    0xA500
0xA245    〒    U+3012    0xE38092    0x1230
0xA246    ¢    U+00A2    0xC2A2    0xA200
0xA247    £    U+00A3    0xC2A3    0xA300
0xA248    ％    U+FF05    0xEFBC85    0x05FF
0xA249    ＠    U+FF20    0xEFBCA0    0x20FF
0xA24A    ℃    U+2103    0xE28483    0x0321
0xA24B    ℉    U+2109    0xE28489    0x0921
0xA24C    ﹩    U+FE69    0xEFB9A9    0x69FE
0xA24D    ﹪    U+FE6A    0xEFB9AA    0x6AFE
0xA24E    ﹫    U+FE6B    0xEFB9AB    0x6BFE
0xA24F    ㏕    U+33D5    0xE38F95    0xD533
0xA250    ㎜    U+339C    0xE38E9C    0x9C33
0xA251    ㎝    U+339D    0xE38E9D    0x9D33
0xA252    ㎞    U+339E    0xE38E9E    0x9E33
0xA253    ㏎    U+33CE    0xE38F8E    0xCE33
0xA254    ㎡    U+33A1    0xE38EA1    0xA133
0xA255    ㎎    U+338E    0xE38E8E    0x8E33
0xA256    ㎏    U+338F    0xE38E8F    0x8F33
0xA257    ㏄    U+33C4    0xE38F84    0xC433
0xA258    °    U+00B0    0xC2B0    0xB000
0xA259    兙    U+5159    0xE58599    0x5951
0xA25A    兛    U+515B    0xE5859B    0x5B51
0xA25B    兞    U+515E    0xE5859E    0x5E51
0xA25C    兝    U+515D    0xE5859D    0x5D51
0xA25D    兡    U+5161    0xE585A1    0x6151
0xA25E    兣    U+5163    0xE585A3    0x6351
0xA25F    嗧    U+55E7    0xE597A7    0xE755
0xA260    瓩    U+74E9    0xE793A9    0xE974
0xA261    糎    U+7CCE    0xE7B38E    0xCE7C
0xA262    ▁    U+2581    0xE29681    0x8125
0xA263    ▂    U+2582    0xE29682    0x8225
0xA264    ▃    U+2583    0xE29683    0x8325
0xA265    ▄    U+2584    0xE29684    0x8425
0xA266    ▅    U+2585    0xE29685    0x8525
0xA267    ▆    U+2586    0xE29686    0x8625
0xA268    ▇    U+2587    0xE29687    0x8725
0xA269    █    U+2588    0xE29688    0x8825
0xA26A    ▏    U+258F    0xE2968F    0x8F25
0xA26B    ▎    U+258E    0xE2968E    0x8E25
0xA26C    ▍    U+258D    0xE2968D    0x8D25
0xA26D    ▌    U+258C    0xE2968C    0x8C25
0xA26E    ▋    U+258B    0xE2968B    0x8B25
0xA26F    ▊    U+258A    0xE2968A    0x8A25
0xA270    ▉    U+2589    0xE29689    0x8925
0xA271    ┼    U+253C    0xE294BC    0x3C25
0xA272    ┴    U+2534    0xE294B4    0x3425
0xA273    ┬    U+252C    0xE294AC    0x2C25
0xA274    ┤    U+2524    0xE294A4    0x2425
0xA275    ├    U+251C    0xE2949C    0x1C25
0xA276    ▔    U+2594    0xE29694    0x9425
0xA277    ─    U+2500    0xE29480    0x0025
0xA278    │    U+2502    0xE29482    0x0225
0xA279    ▕    U+2595    0xE29695    0x9525
0xA27A    ┌    U+250C    0xE2948C    0x0C25
0xA27B    ┐    U+2510    0xE29490    0x1025
0xA27C    └    U+2514    0xE29494    0x1425
0xA27D    ┘    U+2518    0xE29498    0x1825
0xA27E    ╭    U+256D    0xE295AD    0x6D25
0xA2A1    ╮    U+256E    0xE295AE    0x6E25
0xA2A2    ╰    U+2570    0xE295B0    0x7025
0xA2A3    ╯    U+256F    0xE295AF    0x6F25
0xA2A4    ═    U+2550    0xE29590    0x5025
0xA2A5    ╞    U+255E    0xE2959E    0x5E25
0xA2A6    ╪    U+256A    0xE295AA    0x6A25
0xA2A7    ╡    U+2561    0xE295A1    0x6125
0xA2A8    ◢    U+25E2    0xE297A2    0xE225
0xA2A9    ◣    U+25E3    0xE297A3    0xE325
0xA2AA    ◥    U+25E5    0xE297A5    0xE525
0xA2AB    ◤    U+25E4    0xE297A4    0xE425
0xA2AC    ╱    U+2571    0xE295B1    0x7125
0xA2AD    ╲    U+2572    0xE295B2    0x7225
0xA2AE    ╳    U+2573    0xE295B3    0x7325
0xA2AF    ０    U+FF10    0xEFBC90    0x10FF
0xA2B0    １    U+FF11    0xEFBC91    0x11FF
0xA2B1    ２    U+FF12    0xEFBC92    0x12FF
0xA2B2    ３    U+FF13    0xEFBC93    0x13FF
0xA2B3    ４    U+FF14    0xEFBC94    0x14FF
0xA2B4    ５    U+FF15    0xEFBC95    0x15FF
0xA2B5    ６    U+FF16    0xEFBC96    0x16FF
0xA2B6    ７    U+FF17    0xEFBC97    0x17FF
0xA2B7    ８    U+FF18    0xEFBC98    0x18FF
0xA2B8    ９    U+FF19    0xEFBC99    0x19FF
0xA2B9    Ⅰ    U+2160    0xE285A0    0x6021
0xA2BA    Ⅱ    U+2161    0xE285A1    0x6121
0xA2BB    Ⅲ    U+2162    0xE285A2    0x6221
0xA2BC    Ⅳ    U+2163    0xE285A3    0x6321
0xA2BD    Ⅴ    U+2164    0xE285A4    0x6421
0xA2BE    Ⅵ    U+2165    0xE285A5    0x6521
0xA2BF    Ⅶ    U+2166    0xE285A6    0x6621
0xA2C0    Ⅷ    U+2167    0xE285A7    0x6721
0xA2C1    Ⅸ    U+2168    0xE285A8    0x6821
0xA2C2    Ⅹ    U+2169    0xE285A9    0x6921
0xA2C3    〡    U+3021    0xE380A1    0x2130
0xA2C4    〢    U+3022    0xE380A2    0x2230
0xA2C5    〣    U+3023    0xE380A3    0x2330
0xA2C6    〤    U+3024    0xE380A4    0x2430
0xA2C7    〥    U+3025    0xE380A5    0x2530
0xA2C8    〦    U+3026    0xE380A6    0x2630
0xA2C9    〧    U+3027    0xE380A7    0x2730
0xA2CA    〨    U+3028    0xE380A8    0x2830
0xA2CB    〩    U+3029    0xE380A9    0x2930
0xA2CC    十    U+5341    0xE58D81    0x4153
0xA2CD    卄    U+5344    0xE58D84    0x4453
0xA2CE    卅    U+5345    0xE58D85    0x4553
0xA2CF    Ａ    U+FF21    0xEFBCA1    0x21FF
0xA2D0    Ｂ    U+FF22    0xEFBCA2    0x22FF
0xA2D1    Ｃ    U+FF23    0xEFBCA3    0x23FF
0xA2D2    Ｄ    U+FF24    0xEFBCA4    0x24FF
0xA2D3    Ｅ    U+FF25    0xEFBCA5    0x25FF
0xA2D4    Ｆ    U+FF26    0xEFBCA6    0x26FF
0xA2D5    Ｇ    U+FF27    0xEFBCA7    0x27FF
0xA2D6    Ｈ    U+FF28    0xEFBCA8    0x28FF
0xA2D7    Ｉ    U+FF29    0xEFBCA9    0x29FF
0xA2D8    Ｊ    U+FF2A    0xEFBCAA    0x2AFF
0xA2D9    Ｋ    U+FF2B    0xEFBCAB    0x2BFF
0xA2DA    Ｌ    U+FF2C    0xEFBCAC    0x2CFF
0xA2DB    Ｍ    U+FF2D    0xEFBCAD    0x2DFF
0xA2DC    Ｎ    U+FF2E    0xEFBCAE    0x2EFF
0xA2DD    Ｏ    U+FF2F    0xEFBCAF    0x2FFF
0xA2DE    Ｐ    U+FF30    0xEFBCB0    0x30FF
0xA2DF    Ｑ    U+FF31    0xEFBCB1    0x31FF
0xA2E0    Ｒ    U+FF32    0xEFBCB2    0x32FF
0xA2E1    Ｓ    U+FF33    0xEFBCB3    0x33FF
0xA2E2    Ｔ    U+FF34    0xEFBCB4    0x34FF
0xA2E3    Ｕ    U+FF35    0xEFBCB5    0x35FF
0xA2E4    Ｖ    U+FF36    0xEFBCB6    0x36FF
0xA2E5    Ｗ    U+FF37    0xEFBCB7    0x37FF
0xA2E6    Ｘ    U+FF38    0xEFBCB8    0x38FF
0xA2E7    Ｙ    U+FF39    0xEFBCB9    0x39FF
0xA2E8    Ｚ    U+FF3A    0xEFBCBA    0x3AFF
0xA2E9    ａ    U+FF41    0xEFBD81    0x41FF
0xA2EA    ｂ    U+FF42    0xEFBD82    0x42FF
0xA2EB    ｃ    U+FF43    0xEFBD83    0x43FF
0xA2EC    ｄ    U+FF44    0xEFBD84    0x44FF
0xA2ED    ｅ    U+FF45    0xEFBD85    0x45FF
0xA2EE    ｆ    U+FF46    0xEFBD86    0x46FF
0xA2EF    ｇ    U+FF47    0xEFBD87    0x47FF
0xA2F0    ｈ    U+FF48    0xEFBD88    0x48FF
0xA2F1    ｉ    U+FF49    0xEFBD89    0x49FF
0xA2F2    ｊ    U+FF4A    0xEFBD8A    0x4AFF
0xA2F3    ｋ    U+FF4B    0xEFBD8B    0x4BFF
0xA2F4    ｌ    U+FF4C    0xEFBD8C    0x4CFF
0xA2F5    ｍ    U+FF4D    0xEFBD8D    0x4DFF
0xA2F6    ｎ    U+FF4E    0xEFBD8E    0x4EFF
0xA2F7    ｏ    U+FF4F    0xEFBD8F    0x4FFF
0xA2F8    ｐ    U+FF50    0xEFBD90    0x50FF
0xA2F9    ｑ    U+FF51    0xEFBD91    0x51FF
0xA2FA    ｒ    U+FF52    0xEFBD92    0x52FF
0xA2FB    ｓ    U+FF53    0xEFBD93    0x53FF
0xA2FC    ｔ    U+FF54    0xEFBD94    0x54FF
0xA2FD    ｕ    U+FF55    0xEFBD95    0x55FF
0xA2FE    ｖ    U+FF56    0xEFBD96    0x56FF
0xA340    ｗ    U+FF57    0xEFBD97    0x57FF
0xA341    ｘ    U+FF58    0xEFBD98    0x58FF
0xA342    ｙ    U+FF59    0xEFBD99    0x59FF
0xA343    ｚ    U+FF5A    0xEFBD9A    0x5AFF
0xA344    Α    U+0391    0xCE91    0x9103
0xA345    Β    U+0392    0xCE92    0x9203
0xA346    Γ    U+0393    0xCE93    0x9303
0xA347    Δ    U+0394    0xCE94    0x9403
0xA348    Ε    U+0395    0xCE95    0x9503
0xA349    Ζ    U+0396    0xCE96    0x9603
0xA34A    Η    U+0397    0xCE97    0x9703
0xA34B    Θ    U+0398    0xCE98    0x9803
0xA34C    Ι    U+0399    0xCE99    0x9903
0xA34D    Κ    U+039A    0xCE9A    0x9A03
0xA34E    Λ    U+039B    0xCE9B    0x9B03
0xA34F    Μ    U+039C    0xCE9C    0x9C03
0xA350    Ν    U+039D    0xCE9D    0x9D03
0xA351    Ξ    U+039E    0xCE9E    0x9E03
0xA352    Ο    U+039F    0xCE9F    0x9F03
0xA353    Π    U+03A0    0xCEA0    0xA003
0xA354    Ρ    U+03A1    0xCEA1    0xA103
0xA355    Σ    U+03A3    0xCEA3    0xA303
0xA356    Τ    U+03A4    0xCEA4    0xA403
0xA357    Υ    U+03A5    0xCEA5    0xA503
0xA358    Φ    U+03A6    0xCEA6    0xA603
0xA359    Χ    U+03A7    0xCEA7    0xA703
0xA35A    Ψ    U+03A8    0xCEA8    0xA803
0xA35B    Ω    U+03A9    0xCEA9    0xA903
0xA35C    α    U+03B1    0xCEB1    0xB103
0xA35D    β    U+03B2    0xCEB2    0xB203
