0xA2C5    ⑴    U+2474    0xE291B4    0x7424
0xA2C6    ⑵    U+2475    0xE291B5    0x7524
0xA2C7    ⑶    U+2476    0xE291B6    0x7624
0xA2C8    ⑷    U+2477    0xE291B7    0x7724
0xA2C9    ⑸    U+2478    0xE291B8    0x7824
0xA2CA    ⑹    U+2479    0xE291B9    0x7924
0xA2CB    ⑺    U+247A    0xE291BA    0x7A24
0xA2CC    ⑻    U+247B    0xE291BB    0x7B24
0xA2CD    ⑼    U+247C    0xE291BC    0x7C24
0xA2CE    ⑽    U+247D    0xE291BD    0x7D24
0xA2CF    ⑾    U+247E    0xE291BE    0x7E24
0xA2D0    ⑿    U+247F    0xE291BF    0x7F24
0xA2D1    ⒀    U+2480    0xE29280    0x8024
0xA2D2    ⒁    U+2481    0xE29281    0x8124
0xA2D3    ⒂    U+2482    0xE29282    0x8224
0xA2D4    ⒃    U+2483    0xE29283    0x8324
0xA2D5    ⒄    U+2484    0xE29284    0x8424
0xA2D6    ⒅    U+2485    0xE29285    0x8524
0xA2D7    ⒆    U+2486    0xE29286    0x8624
0xA2D8    ⒇    U+2487    0xE29287    0x8724
0xA2D9    ①    U+2460    0xE291A0    0x6024
0xA2DA    ②    U+2461    0xE291A1    0x6124
0xA2DB    ③    U+2462    0xE291A2    0x6224
0xA2DC    ④    U+2463    0xE291A3    0x6324
0xA2DD    ⑤    U+2464    0xE291A4    0x6424
0xA2DE    ⑥    U+2465    0xE291A5    0x6524
0xA2DF    ⑦    U+2466    0xE291A6    0x6624
0xA2E0    ⑧    U+2467    0xE291A7    0x6724
0xA2E1    ⑨    U+2468    0xE291A8    0x6824
0xA2E2    ⑩    U+2469    0xE291A9    0x6924
0xA2E5    ㈠    U+3220    0xE388A0    0x2032
0xA2E6    ㈡    U+3221    0xE388A1    0x2132
0xA2E7    ㈢    U+3222    0xE388A2    0x2232
0xA2E8    ㈣    U+3223    0xE388A3    0x2332
0xA2E9    ㈤    U+3224    0xE388A4    0x2432
0xA2EA    ㈥    U+3225    0xE388A5    0x2532
0xA2EB    ㈦    U+3226    0xE388A6    0x2632
0xA2EC    ㈧    U+3227    0xE388A7    0x2732
0xA2ED    ㈨    U+3228    0xE388A8    0x2832
0xA2EE    ㈩    U+3229    0xE388A9    0x2932
0xA2F1    Ⅰ    U+2160    0xE285A0    0x6021
0xA2F2    Ⅱ    U+2161    0xE285A1    0x6121
0xA2F3    Ⅲ    U+2162    0xE285A2    0x6221
0xA2F4    Ⅳ    U+2163    0xE285A3    0x6321
0xA2F5    Ⅴ    U+2164    0xE285A4    0x6421
0xA2F6    Ⅵ    U+2165    0xE285A5    0x6521
0xA2F7    Ⅶ    U+2166    0xE285A6    0x6621
0xA2F8    Ⅷ    U+2167    0xE285A7    0x6721
0xA2F9    Ⅸ    U+2168    0xE285A8    0x6821
0xA2FA    Ⅹ    U+2169    0xE285A9    0x6921
0xA2FB    Ⅺ    U+216A    0xE285AA    0x6A21
0xA2FC    Ⅻ    U+216B    0xE285AB    0x6B21
0xA3A1    ！    U+FF01    0xEFBC81    0x01FF
0xA3A2    ＂    U+FF02    0xEFBC82    0x02FF
0xA3A3    ＃    U+FF03    0xEFBC83    0x03FF
0xA3A4    ￥    U+FFE5    0xEFBFA5    0xE5FF
0xA3A5    ％    U+FF05    0xEFBC85    0x05FF
0xA3A6    ＆    U+FF06    0xEFBC86    0x06FF
0xA3A7    ＇    U+FF07    0xEFBC87    0x07FF
0xA3A8    （    U+FF08    0xEFBC88    0x08FF
0xA3A9    ）    U+FF09    0xEFBC89    0x09FF
0xA3AA    ＊    U+FF0A    0xEFBC8A    0x0AFF
0xA3AB    ＋    U+FF0B    0xEFBC8B    0x0BFF
0xA3AC    ，    U+FF0C    0xEFBC8C    0x0CFF
0xA3AD    －    U+FF0D    0xEFBC8D    0x0DFF
0xA3AE    ．    U+FF0E    0xEFBC8E    0x0EFF
0xA3AF    ／    U+FF0F    0xEFBC8F    0x0FFF
0xA3B0    ０    U+FF10    0xEFBC90    0x10FF
0xA3B1    １    U+FF11    0xEFBC91    0x11FF
0xA3B2    ２    U+FF12    0xEFBC92    0x12FF
0xA3B3    ３    U+FF13    0xEFBC93    0x13FF
0xA3B4    ４    U+FF14    0xEFBC94    0x14FF
0xA3B5    ５    U+FF15    0xEFBC95    0x15FF
0xA3B6    ６    U+FF16    0xEFBC96    0x16FF
0xA3B7    ７    U+FF17    0xEFBC97    0x17FF
0xA3B8    ８    U+FF18    0xEFBC98    0x18FF
0xA3B9    ９    U+FF19    0xEFBC99    0x19FF
0xA3BA    ：    U+FF1A    0xEFBC9A    0x1AFF
0xA3BB    ；    U+FF1B    0xEFBC9B    0x1BFF
0xA3BC    ＜    U+FF1C    0xEFBC9C    0x1CFF
0xA3BD    ＝    U+FF1D    0xEFBC9D    0x1DFF
0xA3BE    ＞    U+FF1E    0xEFBC9E    0x1EFF
0xA3BF    ？    U+FF1F    0xEFBC9F    0x1FFF
0xA3C0    ＠    U+FF20    0xEFBCA0    0x20FF
0xA3C1    Ａ    U+FF21    0xEFBCA1    0x21FF
0xA3C2    Ｂ    U+FF22    0xEFBCA2    0x22FF
0xA3C3    Ｃ    U+FF23    0xEFBCA3    0x23FF
0xA3C4    Ｄ    U+FF24    0xEFBCA4    0x24FF
0xA3C5    Ｅ    U+FF25    0xEFBCA5    0x25FF
0xA3C6    Ｆ    U+FF26    0xEFBCA6    0x26FF
0xA3C7    Ｇ    U+FF27    0xEFBCA7    0x27FF
0xA3C8    Ｈ    U+FF28    0xEFBCA8    0x28FF
0xA3C9    Ｉ    U+FF29    0xEFBCA9    0x29FF
0xA3CA    Ｊ    U+FF2A    0xEFBCAA    0x2AFF
0xA3CB    Ｋ    U+FF2B    0xEFBCAB    0x2BFF
0xA3CC    Ｌ    U+FF2C    0xEFBCAC    0x2CFF
0xA3CD    Ｍ    U+FF2D    0xEFBCAD    0x2DFF
0xA3CE    Ｎ    U+FF2E    0xEFBCAE    0x2EFF
0xA3CF    Ｏ    U+FF2F    0xEFBCAF    0x2FFF
0xA3D0    Ｐ    U+FF30    0xEFBCB0    0x30FF
0xA3D1    Ｑ    U+FF31    0xEFBCB1    0x31FF
0xA3D2    Ｒ    U+FF32    0xEFBCB2    0x32FF
0xA3D3    Ｓ    U+FF33    0xEFBCB3    0x33FF
0xA3D4    Ｔ    U+FF34    0xEFBCB4    0x34FF
0xA3D5    Ｕ    U+FF35    0xEFBCB5    0x35FF
0xA3D6    Ｖ    U+FF36    0xEFBCB6    0x36FF
0xA3D7    Ｗ    U+FF37    0xEFBCB7    0x37FF
0xA3D8    Ｘ    U+FF38    0xEFBCB8    0x38FF
0xA3D9    Ｙ    U+FF39    0xEFBCB9    0x39FF
0xA3DA    Ｚ    U+FF3A    0xEFBCBA    0x3AFF
0xA3DB    ［    U+FF3B    0xEFBCBB    0x3BFF
0xA3DC    ＼    U+FF3C    0xEFBCBC    0x3CFF
0xA3DD    ］    U+FF3D    0xEFBCBD    0x3DFF
0xA3DE    ＾    U+FF3E    0xEFBCBE    0x3EFF
0xA3DF    ＿    U+FF3F    0xEFBCBF    0x3FFF
0xA3E0    ｀    U+FF40    0xEFBD80    0x40FF
0xA3E1    ａ    U+FF41    0xEFBD81    0x41FF
0xA3E2    ｂ    U+FF42    0xEFBD82    0x42FF
0xA3E3    ｃ    U+FF43    0xEFBD83    0x43FF
0xA3E4    ｄ    U+FF44    0xEFBD84    0x44FF
0xA3E5    ｅ    U+FF45    0xEFBD85    0x45FF
0xA3E6    ｆ    U+FF46    0xEFBD86    0x46FF
0xA3E7    ｇ    U+FF47    0xEFBD87    0x47FF
0xA3E8    ｈ    U+FF48    0xEFBD88    0x48FF
0xA3E9    ｉ    U+FF49    0xEFBD89    0x49FF
0xA3EA    ｊ    U+FF4A    0xEFBD8A    0x4AFF
0xA3EB    ｋ    U+FF4B    0xEFBD8B    0x4BFF
0xA3EC    ｌ    U+FF4C    0xEFBD8C    0x4CFF
0xA3ED    ｍ    U+FF4D    0xEFBD8D    0x4DFF
0xA3EE    ｎ    U+FF4E    0xEFBD8E    0x4EFF
0xA3EF    ｏ    U+FF4F    0xEFBD8F    0x4FFF
0xA3F0    ｐ    U+FF50    0xEFBD90    0x50FF
0xA3F1    ｑ    U+FF51    0xEFBD91    0x51FF
0xA3F2    ｒ    U+FF52    0xEFBD92    0x52FF
0xA3F3    ｓ    U+FF53    0xEFBD93    0x53FF
0xA3F4    ｔ    U+FF54    0xEFBD94    0x54FF
0xA3F5    ｕ    U+FF55    0xEFBD95    0x55FF
0xA3F6    ｖ    U+FF56    0xEFBD96    0x56FF
0xA3F7    ｗ    U+FF57    0xEFBD97    0x57FF
0xA3F8    ｘ    U+FF58    0xEFBD98    0x58FF
0xA3F9    ｙ    U+FF59    0xEFBD99    0x59FF
0xA3FA    ｚ    U+FF5A    0xEFBD9A    0x5AFF
0xA3FB    ｛    U+FF5B    0xEFBD9B    0x5BFF
0xA3FC    ｜    U+FF5C    0xEFBD9C    0x5CFF
0xA3FD    ｝    U+FF5D    0xEFBD9D    0x5DFF
0xA3FE    ￣    U+FFE3    0xEFBFA3    0xE3FF
0xA4A1    ぁ    U+3041    0xE38181    0x4130
0xA4A2    あ    U+3042    0xE38182    0x4230
0xA4A3    ぃ    U+3043    0xE38183    0x4330
0xA4A4    い    U+3044    0xE38184    0x4430
0xA4A5    ぅ    U+3045    0xE38185    0x4530
0xA4A6    う    U+3046    0xE38186    0x4630
0xA4A7    ぇ    U+3047    0xE38187    0x4730
0xA4A8    え    U+3048    0xE38188    0x4830
0xA4A9    ぉ    U+3049    0xE38189    0x4930
0xA4AA    お    U+304A    0xE3818A    0x4A30
0xA4AB    か    U+304B    0xE3818B    0x4B30
0xA4AC    が    U+304C    0xE3818C    0x4C30
0xA4AD    き    U+304D    0xE3818D    0x4D30
0xA4AE    ぎ    U+304E    0xE3818E    0x4E30
0xA4AF    く    U+304F    0xE3818F    0x4F30
0xA4B0    ぐ    U+3050    0xE38190    0x5030
0xA4B1    け    U+3051    0xE38191    0x5130
0xA4B2    げ    U+3052    0xE38192    0x5230
0xA4B3    こ    U+3053    0xE38193    0x5330
0xA4B4    ご    U+3054    0xE38194    0x5430
0xA4B5    さ    U+3055    0xE38195    0x5530
0xA4B6    ざ    U+3056    0xE38196    0x5630
0xA4B7    し    U+3057    0xE38197    0x5730
0xA4B8    じ    U+3058    0xE38198    0x5830
0xA4B9    す    U+3059    0xE38199    0x5930
0xA4BA    ず    U+305A    0xE3819A    0x5A30
0xA4BB    せ    U+305B    0xE3819B    0x5B30
0xA4BC    ぜ    U+305C    0xE3819C    0x5C30
0xA4BD    そ    U+305D    0xE3819D    0x5D30
0xA4BE    ぞ    U+305E    0xE3819E    0x5E30
0xA4BF    た    U+305F    0xE3819F    0x5F30
0xA4C0    だ    U+3060    0xE381A0    0x6030
0xA4C1    ち    U+3061    0xE381A1    0x6130
0xA4C2    ぢ    U+3062    0xE381A2    0x6230
0xA4C3    っ    U+3063    0xE381A3    0x6330
0xA4C4    つ    U+3064    0xE381A4    0x6430
0xA4C5    づ    U+3065    0xE381A5    0x6530
0xA4C6    て    U+3066    0xE381A6    0x6630
0xA4C7    で    U+3067    0xE381A7    0x6730
0xA4C8    と    U+3068    0xE381A8    0x6830
0xA4C9    ど    U+3069    0xE381A9    0x6930
0xA4CA    な    U+306A    0xE381AA    0x6A30
